mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RARA	5914	1.50745588550089e-06	-0.243829459690563	0.027928635190675	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RASGEF1B	153020	1.43768429829114e-09	-0.304042598485938	2.84129547871277e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RASGRF1	5923	7.04439241503298e-08	-0.272162882294671	0.00135301645115538	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RASGRP4	115727	6.3356374420399e-13	-0.357882660137767	1.28036897066184e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RASL12	51285	5.13197319560047e-11	-0.328566984902677	1.02906326518181e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RASSF1	11186	2.62744671625053e-07	-0.260394364021852	0.00497559584656363	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RASSF2	9770	7.70902121152011e-08	-0.271374593015491	0.00147874444879379	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RASSF3	283349	3.69340548150173e-10	-0.314315101477893	7.34987690818844e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RBM28	55131	2.34167840673649e-09	0.300255867286246	4.61216978990819e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RBM43	375287	8.22373053704922e-07	-0.249707923294761	0.0153676852545839	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RBM45	129831	1.09889013444331e-08	0.2878781487305	0.000214305554019134	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RBMS2	5939	6.43034250942269e-12	-0.342806378773508	1.29532819509811e-07	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RBMS3	27303	6.92325685727552e-09	-0.291639476423505	0.000135453520412596	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RBPMS	11030	9.79916983935049e-08	-0.269264690556433	0.00187556110725168	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RCAN2	10231	1.88653143299604e-08	-0.283406852125019	0.000366062559258551	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RCC1	1104	3.40655081920715e-09	0.297308662327625	6.69387235974206e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RCSD1	92241	6.62235664145685e-07	-0.251773581568497	0.0124056606964411	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RECK	8434	7.36167455371657e-14	-0.371205056539217	1.48948761245347e-09	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RECQL4	9401	1.89093185554157e-12	0.350868661219805	3.8166568572251e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	REEP5	7905	1.55753005881451e-06	-0.243508204968521	0.0288407840990684	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	REM1	28954	5.24336547166881e-08	-0.274727105309982	0.00100908568502266	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	REPS2	9185	2.56912314112768e-07	-0.260599892946998	0.00486668996623816	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RETN	56729	8.89257835720609e-08	-0.270120658816978	0.00170337338432283	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	REV3L	5980	1.57313067744183e-06	-0.243410136776232	0.0291249413621581	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RFC2	5982	6.07132002672373e-07	0.252597142215372	0.0113867607101203	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RFC4	5984	1.80394513371596e-06	0.242058751966533	0.0333224745100011	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RFC5	5985	4.55074259164689e-07	0.255309730274281	0.00856950337433027	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RFTN1	23180	8.24220984983354e-07	-0.24968641978505	0.015401393325399	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RGL1	23179	1.53770029964233e-09	-0.303523776869427	3.03711186182357e-05	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RGN	9104	1.04015620109121e-08	-0.288328253254412	0.000202955277956918	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RGS18	64407	7.46619560942601e-07	-0.250631891366864	0.0139662655069923	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RGS3	5998	1.33825460783258e-07	-0.266496500265266	0.00255379126812691	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RGS5	8490	2.99708534526701e-09	-0.298319308531461	5.8940680400021e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RHBDD3	25807	8.43154213114872e-10	0.308123551162223	1.67087870412974e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RHOA	387	3.0281671983726e-10	-0.315783598535966	6.03241187587805e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RHOBTB1	9886	2.030402004319e-07	-0.262744089842705	0.00385646187882216	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RHOBTB2	23221	3.83230539771972e-09	-0.296375781492862	7.52549810950222e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RHOB	388	4.33348565356937e-06	-0.233214033680245	0.0789864430076089	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RHOJ	57381	7.00655799680493e-10	-0.309524790636371	1.39003104098613e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RICH2	9912	3.26875667735634e-10	-0.315219217957864	6.50907517161968e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RILPL2	196383	1.43505803301103e-08	-0.285679732472127	0.000279204890902625	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RILP	83547	2.60813249575806e-07	-0.260461935884045	0.00493980294696577	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	RIN3	79890	2.0174602379828e-08	-0.282846181645535	0.000391225889349624	NA
